time,value
0.355468750,-0.923880
0.359375000,-1.000000
0.363281250,-0.923880
0.367187500,-0.707107
0.371093750,-0.382683
0.375000000,0.000000
0.378906250,0.382683
0.382812500,0.707107
0.386718750,0.923880
0.390625000,1.000000
0.394531250,0.923880
0.398437500,0.707107
0.402343750,0.382683
0.406250000,0.000000
0.410156250,-0.382683
0.414062500,-0.707107
0.417968750,-0.923880
0.421875000,-1.000000
0.425781250,-0.923880
0.429687500,-0.707107
0.433593750,-0.382683
0.437500000,0.000000
0.441406250,0.382683
0.445312500,0.707107
0.449218750,0.923880
0.453125000,1.000000
0.457031250,0.923880
0.460937500,0.707107
0.464843750,0.382683
0.468750000,0.000000
0.472656250,-0.382683
0.476562500,-0.707107
0.480468750,-0.923880
0.484375000,-1.000000
0.488281250,-0.923880
0.492187500,-0.707107
0.496093750,-0.382683
0.500000000,0.000000
0.503906250,0.382683
0.507812500,0.707107
0.511718750,0.923880
0.515625000,1.000000
0.519531250,0.923880
0.523437500,0.707107
0.527343750,0.382683
0.531250000,0.000000
0.535156250,-0.382683
0.539062500,-0.707107
0.542968750,-0.923880
0.546875000,-1.000000
0.550781250,-0.923880
0.554687500,-0.707107
0.558593750,-0.382683
0.562500000,0.000000
0.566406250,0.382683
0.570312500,0.707107
0.574218750,0.923880
0.578125000,1.000000
0.582031250,0.923880
0.585937500,0.707107
0.589843750,0.382683
0.593750000,0.000000
0.597656250,-0.382683
0.601562500,-0.707107
0.605468750,-0.923880
0.609375000,-1.000000
0.613281250,-0.923880
0.617187500,-0.707107
0.621093750,-0.382683
0.625000000,0.000000
0.628906250,0.382683
0.632812500,0.707107
0.636718750,0.923880
0.640625000,1.000000
0.644531250,0.923880
0.648437500,0.707107
0.652343750,0.382683
0.656250000,0.000000
0.660156250,-0.382683
0.664062500,-0.707107
0.667968750,-0.923880
0.671875000,-1.000000
0.675781250,-0.923880
0.679687500,-0.707107
0.683593750,-0.382683
0.687500000,0.000000
0.691406250,0.382683
0.695312500,0.707107
0.699218750,0.923880
0.703125000,1.000000
0.707031250,0.923880
0.710937500,0.707107
0.714843750,0.382683
0.718750000,0.000000
0.722656250,-0.382683
0.726562500,-0.707107
0.730468750,-0.923880
0.734375000,-1.000000
0.738281250,-0.923880
0.742187500,-0.707107
0.746093750,-0.382683
0.750000000,0.000000
0.753906250,0.382683
0.757812500,0.707107
0.761718750,0.923880
0.765625000,1.000000
0.769531250,0.923880
0.773437500,0.707107
0.777343750,0.382683
0.781250000,0.000000
0.785156250,-0.382683
0.789062500,-0.707107
0.792968750,-0.923880
0.796875000,-1.000000
0.800781250,-0.923880
0.804687500,-0.707107
0.808593750,-0.382683
0.812500000,0.000000
0.816406250,0.382683
0.820312500,0.707107
0.824218750,0.923880
0.828125000,1.000000
0.832031250,0.923880
0.835937500,0.707107
0.839843750,0.382683
0.843750000,0.000000
0.847656250,-0.382683
0.851562500,-0.707107
0.855468750,-0.923880
0.859375000,-1.000000
0.863281250,-0.923880
0.867187500,-0.707107
0.871093750,-0.382683
0.875000000,0.000000
0.878906250,0.382683
0.882812500,0.707107
0.886718750,0.923880
0.890625000,1.000000
0.894531250,0.923880
0.898437500,0.707107
0.902343750,0.382683
0.906250000,0.000000
0.910156250,-0.382683
0.914062500,-0.707107
0.917968750,-0.923880
0.921875000,-1.000000
0.925781250,-0.923880
0.929687500,-0.707107
0.933593750,-0.382683
0.937500000,0.000000
0.941406250,0.382683
0.945312500,0.707107
0.949218750,0.923880
0.953125000,1.000000
0.957031250,0.923880
0.960937500,0.707107
0.964843750,0.382683
0.968750000,0.000000
0.972656250,-0.382683
0.976562500,-0.707107
0.980468750,-0.923880
0.984375000,-1.000000
0.988281250,-0.923880
0.992187500,-0.707107
0.996093750,-0.382683
